Title,Album,Lyrics
Inordinary,FLOWERS for VASES / descansos,"[Verse 1]
I don't want your concern
As some consolation prize
And I don't want to be your friend

Or just one of the guys

I am nobody's
We left home when we were teens
I grew bored of simple things

You gave me another chance
A renegade holdin' your hand

I was somebody's

[Chorus]
I wasn't ordinary, ordinary, ordinary
I was inordinary, ordinary
I wasn't ordinary, ordinary, ordinary
I was inordinary, ordinary

[Verse 2]
Life began in seventh grade
When me and mama got away
Came home from school one afternoon
She was waitin' in the car for me
She said, ""Don't worry""

Started over, Tennessee
Rent was cheap and we were free
I wish that feelin' stuck around

There's a beauty to be found

Mmm

[Chorus]
In the ordinary, ordinary, ordinary

In the ordinary, ordinary
In the ordinary, ordinary, ordinary
In the ordinary, ordinary

[Outro]
(I was inordinary, ordinary)
(I wasn't ordinary, ordinary, ordinary)"
HYD,FLOWERS for VASES / descansos,"[Intro]
When the air is quiet and the sky is blue

I can't help be reminded of yo - 
Are you
fucking kidding me?

[Verse 1]
When the air is quiet and the sky is blue
I can't help be reminded of you

How your eyes are shut so you cannot see
Just how very close I keep you to me

And in that dark little place you have made
You'd swear all these pretty clouds are gray


[Chorus]
I wonder how you're doing
How you're doing now


[Verse 2]
In a million years, never thought I'd see
The day you would choose your fear over me
'Cause many storms have come and if not for you
I'd have been struck down, disappeared at sea

I know it's hard for you to take a compliment
But my life began the day which you came in it


[Chorus]
I wonder how you view me
How you view me now

[Verse 3]
On a night like this, it's just me and the kid
And there's a chair for you where you'd always sit

And we would talk for hours about the dumbest shit
And you would always start my cigarette

[Outro]
I wonder if you ever quit like you wanted

I bet you did, I bet you did
I bet you did, I bet you did

How you doing?"
No Use I Just Do,FLOWERS for VASES / descansos,"[Verse 1]
Nobody wants to be alone
But that is not why I want you

See, I've tried and I keep trying, but baby

[Chorus]
It's no use, it's no use, I just love you
It's no use, I just love you
It's no use, I just love you
It's no use, I just love you

[Verse 2]
If I just wanted someone to hold
Then really, anyone would do

I close my eyes and really try
Not to turn 'em into you


[Chorus]
It's no use, I just love you
It's no use, I just love you
It's no use, I just love you
It's no use, I just love you
It's no use, I just do


[Outro]
It's no use, I just love you, mmm
It's no use, I just love you
It's no use, I just love you, mmm
It's no use, I just love you
It's no use, I just love you
Mmm
It's no use, I just love you
It's no use, I just love you
It's no use, I just love you
It's no use, I just love you"
Find Me Here,FLOWERS for VASES / descansos,"[Verse 1]
No one can hold your hand
Now through the delicate darkness you go
If I trespass even one step
It all just disappears, clock starts over


[Chorus]
As long as I am loving you, you'll never be alone
As long as you keep wanting me around
But this is one trip you're gonna have to take alone
When you come back, you'll find me here where I belong

[Interlude]
Hmm, hmm
La, la, la, la, hmm, hmm

[Verse 2]
Soft like sand, sift through your hands
Memories we both agree are not reality


[Chorus]
As long as you are loving me, I know I'm not alone
Even if you're nowhere to be found
Sometimes life takes you back to places you run from
I'll be right here if ever you come home"
Just a Lover,FLOWERS for VASES / descansos,"[Intro]
Love is not a friend, it's not a brother

Love is not a Wendy-Moira-mother

Love has turned me into many others
, now I guess I'm just

[Break]
Just a lover

[Verse 1]
Once upon a time when we were school kids
Mix CDs and carpool kids

No little cameras to witness

Really hope we don't wreck this

When you're coming over

[Break]
Just a lover

[Verse 2]
Space and time, waking hours before I open my eyes

In the morning, I feel my heart crack open, one last chorus
Space and time, waking hours before I open my eyes
In the morning, I feel my heart crack open, one last chorus
I'll be singing into empty glasses
No more music for the masses

One more hour, one more ugly, stillborn cry

I know exactly what this is
Or whatever it was, or whatever it was"
kill me,EGO,"[Verse 1]
Eldest daughters never miss their chances
To learn the hardest lessons again and again
Carrying my mother's mother's torment
I think I'm where the bloodline ends
I'll never do the right thing again

[Chorus]
Go ahead and kill me, can't get much stronger
Find another soldier, another soldier

Go ahead and kill me, can't get much stronger
Find another soldier, another soldier

[Verse 2]
Eldest daughter comes to stop their cycle
A job you never asked for is paying in dust
Setting down your mother's mother's torment
Save yourself or make room for us
'Cause either way we live in your blood

[Chorus]
Go ahead and kill me, can't get much stronger
Find another soldier, another soldier
Go ahead and kill me, can't get much stronger (Ah-ah-ah)
Find another soldier, another soldier (Jesus Christ get me out of here)

[Bridge]
I'm sorry that you're going through something hard
I'm sorry that you're going through something hard

[Chorus]
Go ahead and kill me, can't get much stronger
Find another soldier, another soldier
Go ahead and kill me, can't get much stronger (Ah-ah-ah)
Find another soldier, another soldier
Go ahead and kill me, can't get much stronger
Find another soldier, another soldier
Go ahead and kill me, can't get much stronger (Ah-ah-ah)
Find another soldier, another soldier"
True Believer,EGO,"[Verse 1]
Tourists stumble down Broadway
Cumberland keeps claiming bodies

All our best memories were bought and then turned into apartments
The club with all the hardcore shows now just a grayscale Domino's

The churches overflow each Sunday, greedy Sunday morning

[Pre-Chorus]
Giftshop in the lobby
Act like God ain't watching
Kill the soul, turn a profit

What lives on, Southern Gotham


[Chorus]
I'm the one who still loves your ghost
I reanimate your bones with my belief
I'm the one who still loves your ghost
I reanimate your bones 'cause I'm a true believer


[Verse 2]
They put up chain-link fences underneath the biggest bridges

They pose in Christmas cards with guns as big as all the children

They say that Jesus is the way but then they gave him a white face
So that they don't have to pray to someone they deem lesser than them


[Pre-Chorus]
The South will not rise again

'Til it's paid for every sin

Strange fruit
, hard bargain
Till the roots
, Southern Gotham

[Chorus]
I'm the one who still loves your ghost
I reanimate your bones with my belief
I'm the one who still loves your ghost
I reanimate your bones 'cause I'm a true believer
I'm the one who still loves your ghost
I reanimate your bones with my belief
I'm the one who still loves your ghost (Ah-ah)
I reanimate your bones 'cause I'm a true believer (Ah-ah-ah)"
Blood Bros,EGO,"[Verse 1]
Whatever you do, whatever you say
By now you should know I'll love you the same
Filled up to the brim, pour a little out each day
'Til it's not quite empty and we swim just above the drain

[Chorus]
'Til we're just two fishes
Flippin' on dry land
Hook, line and sinker
Covered in sand

[Verse 2]
Whatever I did, whatever I said
Would you come back to get me if you had the chance again?
Would you rush to the bottom of my black tar heart?
Would you want me to stop you if that'd take all I've got?

[Chorus]
Now we're just blood brothers
Covered in paper cuts
With a bond like no other
Was it ever enough?

[Verse 3]
Whenever you want, whenever you need
I could move in closer or I can leave
If anything helps you or if anything hurts
I will love you forever if that won't make it worse"
Negative Self Talk,EGO,"[Intro]
Negative self-talk
A veteran self-taught
Et cetera, on and on
I'm sick of hearing myself talk

[Verse 1]
The long walk between the car and the house
I just sit behind the wheel 'til the battery runs out
Home is where we were loud, used to sing down the hall
To your signature sound

[Pre-Chorus]
Now it's just so quiet, I hate this gorgeous house
Can't hear my heart beat over emptiness now

Chorus of my worst thoughts, drawing curtains shut
As hope takes a bow

[Chorus]
(Now all I hear is)
Negative self-talk (Yeah, all I hear is)
A veteran self-taught (All I hear is)
Et cetera, on and on (All I hear is)
I'm sick of hearing myself talk

[Verse 2]
I write like a volcano, projectile spewing out
Quiet mind's a loaded cannon, who's it aimed at now?
And the tip of my tongue, tip of the iceberg
Turn Titanic around, let me thaw out

[Chorus]
('Cause all I hear is)
Negative self-talk (Yeah, all I hear is)
A veteran self-taught (All I hear is)
Et cetera, on and on (All I hear is)
I'm sick of hearing myself talk

[Bridge]
Sung over the bones of you
and I
It works but in two days, he wields in my mind
I am Vasilisa, guide me through the night

Nothing more will enter me but why (Ooh-ooh)

[Chorus]
(And I won't hear it)
Negative self-talk (Now I won't hear it)
A veteran self-taught (No, I won't hear it)
Et cetera, on and on (Now I won't hear it)
I'm sick of hearing myself talk

[Outro]
Ooh-ooh (No, I won't hear it)
Ooh-ooh (No, I won't hear it)
Ooh-ooh (No, I won't hear it)
Ooh-ooh (No, I won't hear it)"
Ego Death at a Bachelorette Party,EGO,"[Verse 1]
I'll be the biggest star at this racist country singer's bar

No use shootin' for the moon, no use chasing waterfalls

I'm the biggest star at this racist country singer's bar

No use shootin' for the moon, no use chasing waterfalls

[Chorus]
Can only go up from here
Can only go up from here
Can only go up from here
Can only go up, can only go up
Can only go up from here
Can only go up from here
Can only go up from here
Can only go up, can only go up

[Verse 2]
I'll be the biggest star at this bachelorette party bar
No use shootin' for the moon, no use chasing waterfalls
I'm
the biggest star at this bachelorette party bar
No use shootin' for the moon, no use chasing waterfalls

[Chorus]
Can only go up from here
Can only go up from here
Can only go up from here
Can only go up, can only go up
Can only go up from here
Can only go up from here
Can only go up from here
Can only go up, can only go up

[Post-Chorus]
Ah-ah
Mm-mm

[Bridge]
Got too big for my britches
Too big for my fishes

The sea got shallower every day
I danced, I said my prayers, it never rained

And I just want to be in California
Heaven laughs 'cause they all tried to warn us
They sent me right back from where I came
My tail between my legs on Broadway


[Verse 3]
I'll be the biggest star at this fucking karaoke bar
No use shootin' for the moon, no use chasing waterfalls
I'm the biggest star at this fucking karaoke bar
No use shootin' for the moon, no use chasing waterfalls"
Mirtazapine,EGO,"[Verse 1]
For when the heart's a sinking stone
That's smashed and fusing to your bones
For when you're crying at the sky
And losing all your appetite


[Pre-Chorus]
Here come my genie in a screw cap bottle

To grant me temporary solace

I could never be without her

I had to write a song about her
Who am I without you now?


[Chorus]
Mirtazapine

You make me eat, you make me sleep

Mirtazapine

You let me dream, you let me dream

Ah-ha

[Verse 2]
For when you're happy for a day
Then wake up to remembering
That things will never be the same
Feels like it's your fault it turned out that way

[Pre-Chorus]
Here come my genie in a screw cap bottle
To grant me temporary solace
I could never be without her
I had to write a song about her
Who am I without you now?

[Chorus]
Mirtazapine

You make me eat, you make me sleep
Mirtazapine

You let me dream, you let me dream
Ah-ha

[Bridge]
Ah-ah, ah-ah
Mirtazapine, oh, oh


[Chorus]
Mirtazapine

You make me eat, you make me sleep
Mirtazapine

You let me dream, you let me dream
Mirtazapine

You make me eat, you make me sleep
Mirtazapine

You let me dream, you let me dream
Ah-ha

[Outro]
Ah-ah, ah-ah-ah, ah
Ah, ah, ah, ah, ah"
Ice In My OJ,EGO,"[Intro]
Ah, ah-ah-ah, ah
Ah, ah-ah-ah, ah

[Verse 1]
I'm spinning circles and I can't deny
Floating on your love like a butterfly
Got me jumping inside, thinking about you
No secrets, no games to play
It's alright, it's okay, I never felt this way
Got me jumping inside, thinking about you

[Chorus]
Ah, ah-ah-ah, ah
Ah, ah-ah-ah, ah
Ah, ah-ah-ah, ah (I'm in a band, I'm in a band)

(I'm in a band, I'm in a band)
Ah, ah-ah-ah, ah (I'm in a band, I'm in a band)
(I'm in a band, I'm in a band)

[Verse 2]
I got ice in my OJ, I'm a cold heart bitch
A lot of dumb motherfuckers that I made rich

Might go back to Mississippi

Careful I don't take you with me

[Verse 3]
I'm spinning circles and I can't deny (Ah, ah-ah-ah, ah)
Floating on your love like a butterfly (Ah, ah-ah-ah, ah)
Got me jumping inside, thinking about you (I'm thinking about you)
No secrets, no games to play (Ah, ah-ah-ah, ah)
It's alright, it's okay, I never felt this way (Ah, ah-ah-ah, ah)
Got me jumping inside, thinking about you (I'm thinking about you)


[Chorus]
Ah, ah-ah-ah, ah (I'm in a band, I'm in a band, she's in a band)
(I'm in a band, I'm in a band)
Ah, ah-ah-ah, ah (I'm in a band, I'm in a band, she's in a band)
(I'm in a band, I'm in a band)

[Outro]
Got me jumping inside, thinking about you, you, you
Got me jumping inside, thinking about you, you, you"
Brotherly Hate,EGO,"[Chorus]
Brotherly love, brotherly hate
Don't it sometimes feel like the same thing?
Ah, ah-ah-ah-ah, ah, ah
However you bend, however you sway
Furious roots just won't give way
Ah, ah-ah-ah-ah, ah, ah

[Verse 1]
I've been laid out on your limbs

Carve my name into every one of them (Na)
Please don't fall, please don't break
Please stay strong for all of our sakes
Uh-uh
Are you Siamese twins?
Are you headed two ways?
Just asking for a friend
You could make each other small, or make each other great
If you think that you could give more than you could take
Uh-uh

[Pre-Chorus]
Nick your hand
Or spit into it
Shake hands

That's how you do it

[Chorus]
Brotherly love, brotherly hate
Don't it sometimes feel like the same thing?
Ah, ah-ah-ah-ah, ah, ah
However you bend, however you sway
Furious roots just won't give way
Ah, ah-ah-ah-ah, ah, ah

[Verse 2]
Blood oath
, baby, took a vow unspoken
Not on speaking terms, now you could pick up the phone
Or could pull up to his house
You can find out you're alone if you keep fucking around

[Bridge]
You say that that's your brother, you'll always come around
You'll always have each other
Not if you never pick up where you left off
I love him like a brother, I love him like I'm dumb, let's
Pull your shit together, motherfucker, sick of missing ya
Uh-uh-ah

[Chorus]
Brotherly love, brotherly hate
Don't it sometimes feel like the same thing?
Ah, ah-ah-ah-ah, ah, ah
However you bend, however you sway
Furious roots just won't give way
Ah, ah-ah-ah-ah, ah, ah

[Outro]
Nick your hand
Or spit into it
Shake hands
That's how you do it
Nick your hand
Or spit into it
Shake hands
That's how you do it
(That's how you do it)
Uh-uh"
Zissou,EGO,"[Verse 1]
I keep telling you the water's fine
You show up in a scuba suit
So come out to the deeper side

We could be like team Zissou

[Chorus]
I don't mind (Mind, mind, mind)
Wasting my time
In my mind (Mind, mind, mind)
You're always mine
I don't mind (Mind)
Wasting my time
In my mind (Mind)
You're always mine

[Verse 2]
Keep telling you the water's fine
Megan called it monster soup

But the monsters are you and I
We don't have anything to lose

[Chorus]
I don't mind (Mind, mind, mind)
Wasting my time
In my mind (Mind, mind, mind)
You're always mine
I don't mind (Mind)
Wasting my time
In my mind (Mind)
You're always mine

[Bridge]
Mine, mine, mine, mine, mine (Mine)
Mine, mine, mine, mine, mine (Mine)
Mine, mine, mine, mine, mine (Mine)
Mine, mine, mine, mine, mine (Mine)
Think I need a swelling drive (Mine, mine, mine, mine, mine, mine) (Vem cá, me dá sua língua)

Think I need a swelling drive (Mine, mine, mine, mine, mine, mine) (Vem cá, me dá sua língua)

[Chorus]
I don't mind (Mind, mind, mind)
Wasting my time
In my mind (Mind, mind, mind)
You're always mine
I don't mind (Mind)
Wasting my time
In my mind (Mind)
You're always mine"
Dream Girl In Shibuya,EGO,"[Verse 1]
Every now and then in a far off land
Familiar but foreign, a liminal feeling
I know you know me now like the back of your hand
But can I still get your heart reeling?

[Pre-Chorus]
Should've stayed a mystery
Sipping on Japanese whiskey
In the lobby bar (Ah-ah-ah)
I could say I gotta leave
But let's not let that come between us

Would it make you want me more?

[Chorus]
I wait for you (In seven-two-three-oh)
In the hotel room (I can still be your)
Dream girl come true
(Come on in)
In Shibuya


[Verse 2]
Just my silhouette pressed against this view
I wonder do you miss when having me felt brand new?
An elevator ride, slowest of your life
Can you feel how your heart's beating?

[Pre-Chorus]
Hate that you've already seen
Every bad side of me
Under fluorescent lights (Ah-ah-ah)
But I went to Takeshita Street

Came back more kawaii
We could pretend it's our first time

[Chorus]
I wait for you (In seven-two-three-oh)
In the hotel room (I can still be your)
Dream girl come true (Come on in)
In Shibuya


[Bridge]
Get to the seventh floor
Get underneath me
I'm always waiting for a
Knock on my door, baby

Now hold me closer
Watching an anime
Can always come here
Could always just stay

[Chorus]
I wait for you (In seven-two-three-oh)
In the hotel room (I can still be your)
Dream girl come true (Come on in)
In Shibuya

I wait for you (In seven-two-three-oh)
(I wait for you)
In the hotel room (I can still be your)
(I can feel it)
Dream girl come true (Come on into)
In Shibuya"
Discovery Channel,EGO,"[Verse 1]
Barbaric bliss, teeth gnash
when we kiss
No wound to lick, 'cause the hurt is hidden
Don't you miss when I used to smile?
Blood on my lips, you start to cry
Barbaric bliss, the hurt is hidden

[Chorus]
You and me, baby, ain't nothing but mammals
So let's do it like they do on the Discovery Channel
You and me, baby, ain't nothing but mammals
So let's do it like they do on the Discovery Channel


[Verse 2]
Twenty something years ago we started
Playing a little game and now we're all
Gonna sit down and we're gonna finish it, and guess what?
Your turn,
the hurt is hidden

[Chorus]
You and me, baby, ain't nothing but mammals
So let's do it like they do on the Discovery Channel
You and me, baby, ain't nothing but mammals
So let's do it like they do on the Discovery Channel

[Bridge]
I can't heal, you keep ripping me open
I can't feel, you keep ripping me open
You said we shouldn't even be here (I can't heal, you keep ripping me open)
Unless we know we're gonna make it
You said we shouldn't even be here (I can't feel, you keep ripping me open)
Unless we know we're gonna make it

[Chorus]
You and me, baby, ain't nothing but mammals
So let's do it like they do on the Discovery Channel
You and me, baby, ain't nothing but mammals
So let's do it like they do on the Discovery Channel
You and me, baby, ain't nothing but mammals (I can't heal, you keep ripping me open)
So let's do it like they do on the Discovery Channel
You and me, baby, ain't nothing but mammals (I can't feel, you keep ripping me open)
So let's do it like they do on the Discovery Channel"
Love Me Different,EGO,"[Verse 1]
I save my very best for you, mm-mm
Friends to lovers trope came true

You said that I deserve someone who knows what I am worth
Now I wonder what am I worth to you?

[Chorus]
And I know that you're probably telling yourself that no one's gonna love me like you did
And I know that you're probably right about that, but someone's gonna love me different
And I know that you're probably telling yourself that no one's gonna love me like you did
And I know that you're probably right about that, but someone's gonna love me different

[Post-Chorus]
And I want someone to love me different
Huh

[Verse 2]
Your eyes tells me I'll be fine, mm-mm
Like there's something better for me down the line
But nothing could compare to the potential greatest love of all time
The pleasure and the agony's all mine


[Chorus]
And I know that you're probably telling yourself that no one's gonna love me like you did
And I know that you're probably right about that, but someone's gonna love me different
And I know that you're probably telling yourself that no one's gonna love me like you did
And I know that you're probably right about that, but someone's gonna love me different

[Post-Chorus]
And I want someone to love me different
I want, I want, I want
And I want someone to love me different

[Bridge]
Endless hours of therapy
Two prescriptions, longer routines
Guess I'm the one who's gotta love me differently
Endless scrolling, up 'til three
Alex Reads Tarot
reads the shit out of me
Now I'm the one who's gotta love me differently

[Refrain]
I want, I want, I want, I
I want, I want, I want, I

[Chorus]
And I know that you're probably telling yourself that no one's gonna love me like you did
And I know that you're probably right about that, but someone's gonna love me different
And I know that you're probably telling yourself that no one's gonna love me like you did
And I know that you're probably right about that, but someone's gonna love me different

[Post-Chorus]
And I want someone to love me different
I want, I want, I want
And I want someone to love me different"
hard,EGO,"[Verse 1]
The way you held my face, I swear I softened
For the very first time in my life
Fist unclenched and my guard started dropping
We kissed quick before you pulled me inside
The next morning, I looked in the mirror
Saw a woman I had never met
She looked hopeful, even sorta pitiful
Like she forgot nothing is a given
Nothing is a given

[Chorus]
So hit me, I can't get soft
'Cause I'm too hard

And my ribs are metal cages
To guard my heart
I'm too, I'm too hard


[Post-Chorus]
I'm too, I'm too hard
I'm too, I'm too hard
I'm too, I'm too hard
I'm too, I'm too hard

[Verse 2]
I got married once in combat boots
and
Only listened to testosterone music
I had to my kill my feminine just to do it

To get to you, I had to go through it

[Chorus]
So hit me, I can't get soft
'Cause I'm too hard (Hard)
And my ribs are metal cages
To guard my heart (Heart)
I'm too, I'm too hard

[Bridge]
I was ridin' for a little bit too far
I was ready to be left out in the cold
Always hidin', never seeked to be alone
Oh, it's the devil I know

[Chorus]
So hit me, I can't get soft
'Cause I'm too hard (Hard)
And my ribs are metal cages
To guard my heart (Heart)
I'm too, I'm too hard

[Post-Chorus]
I'm too, I'm too hard
I'm too, I'm too hard
I'm too, I'm too hard
I'm too, I'm too hard"
WHIM,EGO,"[Verse 1]
Baby, take it easy
We're startin' somethin' new
Listen how the heart beats
It always tells the truth
Baby, take it easy
When following a whim
And listen how the heart beats
Lying next to him
(Ah-ah-ah)

[Pre-Chorus]
Bare feet on the concrete, freckles on your knees
Searchin' for a bloodstain, bandages are clean
Baby, take it easy following a whim
Listen how the heart beats lying next to him

[Chorus]
I want to be in love
To believe in us instead of sabotage
I want to be in love
To believe in us instead of sabotage


[Verse 2]
Baby, take it easy (Ah-ah, ah, ah, ah, ah-ah, ah, ah, ah)
You're always on the move (Ah-ah, ah, ah, ah, ah-ah, ah, ah, ah)

Somethin' in the stillness (Ah-ah, ah, ah, ah, ah-ah, ah, ah, ah)
Gets you to the truth (Ah-ah, ah, ah, ah, ah-ah, ah, ah, ah)
And I know you took a beatin' (Ah-ah, ah, ah, ah, ah-ah, ah, ah, ah)
I know it's all a risk (Ah-ah, ah, ah, ah, ah-ah, ah, ah, ah)
But listen how the heart beats (Ah-ah, ah, ah, ah, ah-ah, ah, ah, ah)
Lying next to him (Ah-ah, ah, ah, ah, ah-ah, ah, ah, ah)
(Ah-ah-ah, woo)

[Pre-Chorus]
Sunshine through the curtain, music in my head
Still be singing to you long after we're dead

[Chorus]
I want to be in love
To believe in us instead of sabotage
I want to be in love
To believe in us instead of sabotage

[Bridge]
(Ah-ah)
(Ah-ah, ah, ah, ah)
I want to believe in love
I want to believe in us
I want to believe in love
I want to believe in us

[Chorus]
I want to be in love
To believe in us instead of sabotage
I want to be in love
To believe in us instead of sabotage
I want to be in love
(Bare feet on the concrete, freckles on your knees)
To believe in us instead of sabotage
(Searchin' for a bloodstain, bandages are clean)
I want to be in love
(Sunshine through the curtain, music in my head)
To believe in us instead of sabotage
(Still be singing to you long after we're dead)"
glum,EGO,"[Verse 1]
In the wake of your sunshine
I've never felt so glum
Think I'm made up of moonlight
Don't reach quite as far, but I still show up
Stick around for someone (Someone)
Stick around 'til dawn, I wonder

[Chorus: Hayley Williams]
Do you ever feel so alone
That you could implode and no one would know?
And when you look around and nobody's home
But you wanna go back to wherever we're from
To wherever we're from

[Verse 2: Hayley Williams]
Spaced out at a stoplight
Who's laying on their horn?
'Cause it's in tune with this song
Wanna put it in park, listen all day long
Hey man, roll down your window (Window, window)
Light's already yellow, I wonder

[Chorus: Hayley Williams]
Do you ever feel so alone
That you could implode and no one would know?
And when you look around and nobody's home
But you wanna go back to wherever we're from
Wherever we're from

[Bridge]
On my way to thirty-seven years
I do not know if I'll ever know
What in the living fuck I'm doing here
Does anyone know if this is normal?
I wonder, I wonder

[Chorus: Hayley Williams]
Do you ever feel so alone (Feel)
That you could implode and no one would know? (No one would know)
And when you look around and nobody's home (Nobody's home)
But you wanna go back to wherever we're from
Wherever we're from

[Outro]
In the wake of your sunshine
I've never felt so glum"
Disappearing Man,EGO,"[Intro]
Yeah, we made it, disappearing man
Yeah, we made it, disappearing man
Yeah, we made it, disappearing man

[Verse 1]
Now I understand how you feel abandoned
At a depth you would never share with me

And I tried to make it to the bottom
Suck out all the poison, but in the end
I have no choice but to surface and surrender

[Chorus]
Disappearing man
You could really have anyone
And you had me
Why'd you let go? (Why'd you let go?)
You could really have anyone
Except for me, I suppose

[Verse 2]
Just like I said, had to come up for air

'Cause I know better than to hold my breath for too long

Now, love, you're not the only one who's lonely
My final act of love was surrender

Oh, surrender

[Chorus]
Disappearing man
You could really have anyone
And you had me
Why'd you let go? (Why'd you let go?)
You could really have anyone
Except for me, I suppose (so it goes)

[Bridge]
Yeah, we made it, disappearing man
Yeah, we made it, disappearing man
Yeah, we made it, disappearing man
Yeah, we made it, disappearing man
Won't you just surrender?
Yeah, we made it, disappearing man
Yeah, we made it, disappearing man
Yeah, we made it, disappearing man
Yeah, we made it, disappearing man
Won't you just surrender?

[Chorus]
Disappearing man
You could really have anyone
And you had me
Why'd you let go? (Why'd you let go?)
You could really have anyone
Except for me, I suppose (So it goes)

[Post-Chorus]
Disappearing man, that's spinning there with wild hair
And a stare that could melt stone
There were no conditions to my love
Yeah, it was endless 'til there was no you to hold

[Outro]
Disappearing man
Won't you just surrender?
Disappearing man
Won't you just surrender
Disappearing man"
I Won't Quit On You,EGO,"[Verse 1]
Stranded here on Mars
What's the odds you'd get stuck here too?
It might be a lost cause
Who'd have thought there'd be so much left to lose?

[Chorus]
Come hell or heaven, angels or devils
I won't move
And I don't care what happens after
I won't quit on you

[Verse 2]
Lonely astronaut, it's gonna cost
But you just can't beat that view
Wasted like a God, power off
Wake up somewhere new
Now I'm an alien to you

[Chorus]
Come hell or heaven, angels or devils
I won't move
And I don't care what happens after
I won't quit on you
Come hell (Hell) or heaven (Heaven), angels (Angels) or devils
I won't move (I won't, I won't, I won't, I won't, I won't)
And I don't (Don't) care (Care) what happens after
I won't quit on you (I won't, I won't, I won't, I won't, I won't)

[Bridge]
Chaos-ridden inner space
Turns out home is not a place
When I think home, I see your face
Up there so long, everything changed
Chaos reaches outer space
Turns out nowhere is a place
Look down on a brilliant blaze
Phone, home, baby
; everything changed

[Chorus]
Come hell or heaven, angels or devils
I won't move
And I don't care what happens after
I won't quit on you

[Outro]
Chaos reaches outer space
Turns out nowhere is a place
Look down on a brilliant blaze
Phone, home, baby; everything changed"
