Song,Album,Lyric,Previous Lyric,Next Lyric,Multiplicity
Miracle,Riot!,I'm not going,I just need this pain to end right here,'Cause I've been waiting for a miracle,1
Miracle,Riot!,Let you give up on a miracle,I won't let you,'Cause it might save you,1
Miracle,Riot!,'Cause it might save you,Let you give up on a miracle,"Yeah, it might save you",1
Miracle,Riot!,"Yeah, it might save you",'Cause it might save you,"Oh, it might save you",1
Miracle,Riot!,"Oh, it might save you","Yeah, it might save you","It's not faith if, if you use your eyes",1
Miracle,Riot!,"It's not faith if, if you use your eyes","Oh, it might save you",If you use your eyes,1
Miracle,Riot!,If you use your eyes,"It's not faith if, if you use your eyes",If you use your eyes,1
Miracle,Riot!,If you use your eyes,If you use your eyes,,1
crushcrushcrush,Riot!,I got a lot to say to you,,"Yeah, I got a lot to say",1
crushcrushcrush,Riot!,"Yeah, I got a lot to say",I got a lot to say to you,I noticed your eyes are always glued to me,1
crushcrushcrush,Riot!,I noticed your eyes are always glued to me,"Yeah, I got a lot to say",Keeping them here and it makes no sense at all,1
crushcrushcrush,Riot!,Keeping them here and it makes no sense at all,I noticed your eyes are always glued to me,They taped over your mouth,1
crushcrushcrush,Riot!,They taped over your mouth,Keeping them here and it makes no sense at all,Scribbled out the truth with their lies,1
crushcrushcrush,Riot!,Scribbled out the truth with their lies,They taped over your mouth,Your little spies,4
crushcrushcrush,Riot!,Your little spies,Scribbled out the truth with their lies,They taped over your mouth,2
crushcrushcrush,Riot!,They taped over your mouth,Your little spies,Scribbled out the truth with their lies,2
crushcrushcrush,Riot!,Your little spies,Scribbled out the truth with their lies,"Crush, crush, crush, crush, crush",2
crushcrushcrush,Riot!,"Crush, crush, crush, crush, crush",Your little spies,"(Two, three, four)",2
crushcrushcrush,Riot!,"(Two, three, four)","Crush, crush, crush, crush, crush",Nothing compares to,2
crushcrushcrush,Riot!,Nothing compares to,"(Two, three, four)",A quiet evening alone,2
crushcrushcrush,Riot!,A quiet evening alone,Nothing compares to,Just the one two of us who's counting on,4
crushcrushcrush,Riot!,Just the one two of us who's counting on,A quiet evening alone,That never happens,4
crushcrushcrush,Riot!,That never happens,Just the one two of us who's counting on,I guess I'm dreaming again,4
crushcrushcrush,Riot!,I guess I'm dreaming again,That never happens,Let's be more than,3
crushcrushcrush,Riot!,Let's be more than,I guess I'm dreaming again,This,1
crushcrushcrush,Riot!,This,Let's be more than,If you wanna play it like a game,1
crushcrushcrush,Riot!,If you wanna play it like a game,This,"Well, come on, come on, let's play",1
crushcrushcrush,Riot!,"Well, come on, come on, let's play",If you wanna play it like a game,'Cause I'd rather waste my life pretending,1
crushcrushcrush,Riot!,'Cause I'd rather waste my life pretending,"Well, come on, come on, let's play",Than have to forget you for one whole minute,1
crushcrushcrush,Riot!,Than have to forget you for one whole minute,'Cause I'd rather waste my life pretending,They taped over your mouth,1
crushcrushcrush,Riot!,They taped over your mouth,Than have to forget you for one whole minute,Scribbled out the truth with their lies,1
crushcrushcrush,Riot!,Let's be more than,I guess I'm dreaming again,This now,1
crushcrushcrush,Riot!,This now,Let's be more than,"Rock and roll, baby",1
crushcrushcrush,Riot!,"Rock and roll, baby",This now,Don't you know that we're all alone now?,1
crushcrushcrush,Riot!,Don't you know that we're all alone now?,"Rock and roll, baby",I need something to sing about,1
crushcrushcrush,Riot!,I need something to sing about,Don't you know that we're all alone now?,"Rock and roll, hey (Hey)",1
crushcrushcrush,Riot!,"Rock and roll, hey (Hey)",I need something to sing about,"Don't you know, baby, we're all alone now?",2
crushcrushcrush,Riot!,"Don't you know, baby, we're all alone now?","Rock and roll, hey (Hey)",I need something to sing about,1
crushcrushcrush,Riot!,I need something to sing about,"Don't you know, baby, we're all alone now?","Rock and roll, hey (Hey)",1
crushcrushcrush,Riot!,"Don't you know, baby, we're all alone now?","Rock and roll, hey (Hey)",Give me something to sing about,1
crushcrushcrush,Riot!,Give me something to sing about,"Don't you know, baby, we're all alone now?",Nothing compares to,1
crushcrushcrush,Riot!,Nothing compares to,Give me something to sing about,A quiet evening alone,1
crushcrushcrush,Riot!,I guess I'm dreaming again,That never happens,"Let's be more than, no-ooh-oh",1
crushcrushcrush,Riot!,"Let's be more than, no-ooh-oh",I guess I'm dreaming again,Nothing compares to,1
crushcrushcrush,Riot!,Nothing compares to,"Let's be more than, no-ooh-oh",A quiet evening alone,1
crushcrushcrush,Riot!,Let's be more than,I guess I'm dreaming again,More than this,1
crushcrushcrush,Riot!,More than this,Let's be more than,"Oh-oh, oh-oh, oh-oh",1
crushcrushcrush,Riot!,"Oh-oh, oh-oh, oh-oh",More than this,"Ooh, ooh",1
crushcrushcrush,Riot!,"Ooh, ooh","Oh-oh, oh-oh, oh-oh",,1
We Are Broken,Riot!,I am outside and I've been waiting for the sun,,"With my wide eyes,",1
We Are Broken,Riot!,"With my wide eyes,",I am outside and I've been waiting for the sun,I've seen worlds that don't belong,1
We Are Broken,Riot!,I've seen worlds that don't belong,"With my wide eyes,",My mouth is dry with words I cannot verbalize,1
We Are Broken,Riot!,My mouth is dry with words I cannot verbalize,I've seen worlds that don't belong,Tell me why we live like this,1
We Are Broken,Riot!,Tell me why we live like this,My mouth is dry with words I cannot verbalize,Keep me safe inside,1
We Are Broken,Riot!,Keep me safe inside,Tell me why we live like this,Your arms like towers,1
We Are Broken,Riot!,Your arms like towers,Keep me safe inside,Tower over me,2
We Are Broken,Riot!,Tower over me,Your arms like towers,", yeah",1
We Are Broken,Riot!,", yeah",Tower over me,'Cause we are broken,1
We Are Broken,Riot!,'Cause we are broken,", yeah",What must we do to restore our innocence,1
We Are Broken,Riot!,What must we do to restore our innocence,'Cause we are broken,And all the promise we adored?,3
We Are Broken,Riot!,And all the promise we adored?,What must we do to restore our innocence,Give us life again,3
We Are Broken,Riot!,Give us life again,And all the promise we adored?,'Cause we just wanna be whole,3
We Are Broken,Riot!,'Cause we just wanna be whole,Give us life again,Lock the doors 'cause I'd like to capture this voice,1
We Are Broken,Riot!,Lock the doors 'cause I'd like to capture this voice,'Cause we just wanna be whole,It came to me tonight,1
We Are Broken,Riot!,It came to me tonight,Lock the doors 'cause I'd like to capture this voice,So everyone will have a choice,1
We Are Broken,Riot!,So everyone will have a choice,It came to me tonight,"And under red lights, I'll show myself it wasn't forged",1
We Are Broken,Riot!,"And under red lights, I'll show myself it wasn't forged",So everyone will have a choice,"We're at war, we live like this",1
We Are Broken,Riot!,"We're at war, we live like this","And under red lights, I'll show myself it wasn't forged",Keep me safe inside,1
We Are Broken,Riot!,Keep me safe inside,"We're at war, we live like this",Your arms like towers,1
We Are Broken,Riot!,Tower over me,Your arms like towers,'Cause we are broken,1
We Are Broken,Riot!,'Cause we are broken,Tower over me,What must we do to restore our innocence,1
We Are Broken,Riot!,'Cause we just wanna be whole,Give us life again,Tower over me,1
We Are Broken,Riot!,Tower over me,'Cause we just wanna be whole,Tower over me,1
We Are Broken,Riot!,Tower over me,Tower over me,And I'll take the truth at any cost,1
We Are Broken,Riot!,And I'll take the truth at any cost,Tower over me,'Cause we are broken,1
We Are Broken,Riot!,'Cause we are broken,And I'll take the truth at any cost,What must we do to restore our innocence,1
We Are Broken,Riot!,'Cause we just wanna be whole,Give us life again,,1
Fences,Riot!,I'm sitting in a room,,Made up of only big white walls,1
Fences,Riot!,Made up of only big white walls,I'm sitting in a room,And in the hall,1
Fences,Riot!,And in the hall,Made up of only big white walls,There are people looking through,1
Fences,Riot!,There are people looking through,And in the hall,The window in the door,1
Fences,Riot!,The window in the door,There are people looking through,They know exactly what we're here for,1
Fences,Riot!,They know exactly what we're here for,The window in the door,"Don't look up, just let them think",1
Fences,Riot!,"Don't look up, just let them think",They know exactly what we're here for,There's no place else you'd rather be,1
Fences,Riot!,There's no place else you'd rather be,"Don't look up, just let them think",You're always on display,1
Fences,Riot!,You're always on display,There's no place else you'd rather be,For everyone to watch and learn from,1
Fences,Riot!,For everyone to watch and learn from,You're always on display,Don't you know by now?,1
Fences,Riot!,Don't you know by now?,For everyone to watch and learn from,You can't turn back,1
Fences,Riot!,You can't turn back,Don't you know by now?,Because this road is all you'll ever have,1
Fences,Riot!,Because this road is all you'll ever have,You can't turn back,"And it's obvious that you're dying, dying",1
Fences,Riot!,"And it's obvious that you're dying, dying",Because this road is all you'll ever have,Just living proof that the camera's lying,2
Fences,Riot!,Just living proof that the camera's lying,"And it's obvious that you're dying, dying","And oh, oh, open wide",3
Fences,Riot!,"And oh, oh, open wide",Just living proof that the camera's lying,'Cause this is your night so smile,2
Fences,Riot!,'Cause this is your night so smile,"And oh, oh, open wide",'Cause you'll go out in style,1
Fences,Riot!,'Cause you'll go out in style,'Cause this is your night so smile,You'll go out in style,1
Fences,Riot!,You'll go out in style,'Cause you'll go out in style,"If you let me, I could",1
Fences,Riot!,"If you let me, I could",You'll go out in style,"I'd show you how to build your fences, set restrictions",1
Fences,Riot!,"I'd show you how to build your fences, set restrictions","If you let me, I could",Separate from the world,1
Fences,Riot!,Separate from the world,"I'd show you how to build your fences, set restrictions",The constant battle that you hate to fight,1
Fences,Riot!,The constant battle that you hate to fight,Separate from the world,Just blame the limelight,1
Fences,Riot!,Just blame the limelight,The constant battle that you hate to fight,"Don't look up, just let them think",1
Fences,Riot!,"Don't look up, just let them think",Just blame the limelight,There's no place else you'd rather be,1
Fences,Riot!,There's no place else you'd rather be,"Don't look up, just let them think",And now you can't turn back,1
Fences,Riot!,And now you can't turn back,There's no place else you'd rather be,Because this road is all you'll ever have,1
Fences,Riot!,Because this road is all you'll ever have,And now you can't turn back,"And it's obvious that you're dying, dying",1
Fences,Riot!,'Cause this is your night so smile,"And oh, oh, open wide","Yeah, yeah, you're asking for it",1
Fences,Riot!,"Yeah, yeah, you're asking for it",'Cause this is your night so smile,With every breath that you breathe in,1
Fences,Riot!,With every breath that you breathe in,"Yeah, yeah, you're asking for it",Just breathe it in,1
Fences,Riot!,Just breathe it in,With every breath that you breathe in,"Yeah, yeah, well, you're just a mess",1
Fences,Riot!,"Yeah, yeah, well, you're just a mess",Just breathe it in,You do all this big talking,1
Fences,Riot!,You do all this big talking,"Yeah, yeah, well, you're just a mess",So now let's see you walk it,2
Fences,Riot!,So now let's see you walk it,You do all this big talking,I said let's see you walk it,2
Fences,Riot!,I said let's see you walk it,So now let's see you walk it,"Yeah, yeah, well, you're just a mess",1
Fences,Riot!,"Yeah, yeah, well, you're just a mess",I said let's see you walk it,You do all this big talking,1
Fences,Riot!,I said let's see you walk it,So now let's see you walk it,"And it's obvious that you're dying, dying",1
Fences,Riot!,"And it's obvious that you're dying, dying",I said let's see you walk it,Just living proof that the camera's lying,1
Fences,Riot!,"And oh, oh, open wide",Just living proof that the camera's lying,"Yeah, oh, oh, open wide",1
Fences,Riot!,"Yeah, oh, oh, open wide","And oh, oh, open wide","Yeah, oh, oh, open wide",1
Fences,Riot!,"Yeah, oh, oh, open wide","Yeah, oh, oh, open wide",'Cause you'll go out in style,1
Fences,Riot!,'Cause you'll go out in style,"Yeah, oh, oh, open wide",You'll go out in style,1
Fences,Riot!,You'll go out in style,'Cause you'll go out in style,,1
Born for This,Riot!,"Oh no, I just keep on falling",,Back to the same old,1
Born for This,Riot!,Back to the same old,"Oh no, I just keep on falling",And where's hope when misery comes crawling?,1
Born for This,Riot!,And where's hope when misery comes crawling?,Back to the same old,"Oh, my way-ay",1
Born for This,Riot!,"Oh, my way-ay",And where's hope when misery comes crawling?,"With your faith, you'll trigger a landslide",1
Born for This,Riot!,"With your faith, you'll trigger a landslide","Oh, my way-ay",(Victory),1
Born for This,Riot!,(Victory),"With your faith, you'll trigger a landslide",And kill off this common sense of mine,1
Born for This,Riot!,And kill off this common sense of mine,(Victory),And it takes acquired minds,1
Born for This,Riot!,And it takes acquired minds,And kill off this common sense of mine,"To taste, to taste, to taste this wine",1
Born for This,Riot!,"To taste, to taste, to taste this wine",And it takes acquired minds,You can't down it with your eyes,2
Born for This,Riot!,You can't down it with your eyes,"To taste, to taste, to taste this wine",So we don't need the headlines,2
Born for This,Riot!,So we don't need the headlines,You can't down it with your eyes,"We don't need the headlines, we just want",1
Born for This,Riot!,"We don't need the headlines, we just want",So we don't need the headlines,(We want the airwaves back),1
Born for This,Riot!,(We want the airwaves back),"We don't need the headlines, we just want",(We want the airwaves back),1
Born for This,Riot!,(We want the airwaves back),(We want the airwaves back),Everybody sing,2
Born for This,Riot!,Everybody sing,(We want the airwaves back),Like it's the last song you will ever sing,2
Born for This,Riot!,Like it's the last song you will ever sing,Everybody sing,"Tell me, tell me, do you feel the pressure now?",2
Born for This,Riot!,"Tell me, tell me, do you feel the pressure now?",Like it's the last song you will ever sing,Everybody live,2
Born for This,Riot!,Everybody live,"Tell me, tell me, do you feel the pressure now?",Like it's the last day you will ever see,2
Born for This,Riot!,Like it's the last day you will ever see,Everybody live,"Tell me, tell me, do you feel the pressure now?",2
Born for This,Riot!,"Tell me, tell me, do you feel the pressure now?",Like it's the last day you will ever see,"Right now, you're the only reason",1
Born for This,Riot!,"Right now, you're the only reason","Tell me, tell me, do you feel the pressure now?","I'm not letting go, oh",1
Born for This,Riot!,"I'm not letting go, oh","Right now, you're the only reason",And I'm out if everyone's worth pleasing,1
Born for This,Riot!,And I'm out if everyone's worth pleasing,"I'm not letting go, oh","Ha, ha",1
Born for This,Riot!,"Ha, ha",And I'm out if everyone's worth pleasing,You'll trigger a landslide,1
Born for This,Riot!,You'll trigger a landslide,"Ha, ha",(Victory),1
Born for This,Riot!,(Victory),You'll trigger a landslide,To kill off their finite state of mind,1
Born for This,Riot!,To kill off their finite state of mind,(Victory),And it takes acquired minds,1
Born for This,Riot!,And it takes acquired minds,To kill off their finite state of mind,"To taste, to taste, to taste this wine",1
Born for This,Riot!,So we don't need the headlines,You can't down it with your eyes,"No, we don't want your headlines, we just want",1
Born for This,Riot!,"No, we don't want your headlines, we just want",So we don't need the headlines,(We want the airwaves back),1
Born for This,Riot!,(We want the airwaves back),"No, we don't want your headlines, we just want",(We want the airwaves back),1
Born for This,Riot!,"Tell me, tell me, do you feel the pressure now?",Like it's the last day you will ever see,Everybody sing,1
Born for This,Riot!,Everybody sing,"Tell me, tell me, do you feel the pressure now?",Like it's the last song you will ever sing,1
Born for This,Riot!,Like it's the last song you will ever sing,Everybody sing,"Tell me, tell me, do you feel the pressure?",1
Born for This,Riot!,"Tell me, tell me, do you feel the pressure?",Like it's the last song you will ever sing,"Alright, so you think you're ready?",1
Born for This,Riot!,"Alright, so you think you're ready?","Tell me, tell me, do you feel the pressure?","Okay, then you say this with me, go",1
Born for This,Riot!,"Okay, then you say this with me, go","Alright, so you think you're ready?",We were born for this,2
Born for This,Riot!,We were born for this,"Okay, then you say this with me, go",We were born for this,2
Born for This,Riot!,We were born for this,We were born for this,"Alright, so you think you're ready?",1
Born for This,Riot!,"Alright, so you think you're ready?",We were born for this,"Okay, then you say this with me, go",1
Born for This,Riot!,We were born for this,We were born for this,We were born for this,3
Born for This,Riot!,We were born for this,We were born for this,"We were born for, we were born for",1
Born for This,Riot!,"We were born for, we were born for",We were born for this,Everybody sing,1
Born for This,Riot!,Everybody sing,"We were born for, we were born for",Like it's the last song you will ever sing,1
Born for This,Riot!,Like it's the last song you will ever sing,Everybody sing,"Tell me, tell me, can you feel the pressure?",2
Born for This,Riot!,"Tell me, tell me, can you feel the pressure?",Like it's the last song you will ever sing,Everybody live,1
Born for This,Riot!,Everybody live,"Tell me, tell me, can you feel the pressure?",Like it's the last day you will ever see,1
Born for This,Riot!,Like it's the last day you will ever see,Everybody live,"Tell me, tell me, can you feel the pressure now?",1
Born for This,Riot!,"Tell me, tell me, can you feel the pressure now?",Like it's the last day you will ever see,Everybody sing,1
Born for This,Riot!,Everybody sing,"Tell me, tell me, can you feel the pressure now?",Like it's the last song you will ever sing,1
Born for This,Riot!,"Tell me, tell me, can you feel the pressure?",Like it's the last song you will ever sing,"Tell me, tell me, can you feel the pressure?",1
Born for This,Riot!,"Tell me, tell me, can you feel the pressure?","Tell me, tell me, can you feel the pressure?",We were born for this,1
Born for This,Riot!,We were born for this,"Tell me, tell me, can you feel the pressure?",We were born for this,1
Born for This,Riot!,We were born for this,We were born for this,,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),You say the sweetest things,,And I can't keep my heart from singing,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),And I can't keep my heart from singing,You say the sweetest things,Along to the sound of your song,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),Along to the sound of your song,And I can't keep my heart from singing,My stupid feet keep moving,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),My stupid feet keep moving,Along to the sound of your song,"To this 4/4 beat, I'm in time with you, oh-oh, oh-oh",1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),"To this 4/4 beat, I'm in time with you, oh-oh, oh-oh",My stupid feet keep moving,"To this 4/4 beat, I would die for you (Die for you)",1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),"To this 4/4 beat, I would die for you (Die for you)","To this 4/4 beat, I'm in time with you, oh-oh, oh-oh",(Someone stop this),1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),(Someone stop this),"To this 4/4 beat, I would die for you (Die for you)",I've gone too far to come back from here,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),I've gone too far to come back from here,(Someone stop this),But you don't have a clue,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),But you don't have a clue,I've gone too far to come back from here,You don't know what you do to me,2
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),You don't know what you do to me,But you don't have a clue,Won't someone stop this song?,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),Won't someone stop this song?,You don't know what you do to me,So I won't sing along,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),So I won't sing along,Won't someone stop this song?,Someone stop this song,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),Someone stop this song,So I won't sing along,So I won't sing,2
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),So I won't sing,Someone stop this song,I never let love in,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),I never let love in,So I won't sing,So I could keep my heart from hurting,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),So I could keep my heart from hurting,I never let love in,The longer that I live with this idea,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),The longer that I live with this idea,So I could keep my heart from hurting,The more I sink in,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),The more I sink in,The longer that I live with this idea,"To this 4/4 beat, I'm in time with you, oh-oh, oh-oh",1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),"To this 4/4 beat, I'm in time with you, oh-oh, oh-oh",The more I sink in,"To this 4/4 beat, I would die for you (Let's stop this song)",1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),"To this 4/4 beat, I would die for you (Let's stop this song)","To this 4/4 beat, I'm in time with you, oh-oh, oh-oh",I've gone too far to come back from here,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),I've gone too far to come back from here,"To this 4/4 beat, I would die for you (Let's stop this song)",But you don't have a clue,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),You don't know what you do to me,But you don't have a clue,I've come too far to get over you,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),I've come too far to get over you,You don't know what you do to me,And you don't have a clue,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),And you don't have a clue,I've come too far to get over you,You don't know what you do to me,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),You don't know what you do to me,And you don't have a clue,Can't someone stop this song?,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),Can't someone stop this song?,You don't know what you do to me,So I won't sing along,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),So I won't sing along,Can't someone stop this song?,Someone stop this song,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),So I won't sing,Someone stop this song,Your lovesick melody,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),Your lovesick melody,So I won't sing,Is gonna get the best of me tonight,2
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),Is gonna get the best of me tonight,Your lovesick melody,But you won't get to me,2
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),But you won't get to me,Is gonna get the best of me tonight,If I don't sing,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),If I don't sing,But you won't get to me,It creeps in like a spider,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),It creeps in like a spider,If I don't sing,Can't be killed,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),Can't be killed,It creeps in like a spider,Although I try and try to,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),Although I try and try to,Can't be killed,"Well, don't you see I'm falling?",1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),"Well, don't you see I'm falling?",Although I try and try to,Don't want to love you,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),Don't want to love you,"Well, don't you see I'm falling?",But I do,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),But I do,Don't want to love you,(Lovesick melody),1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),(Lovesick melody),But I do,Can someone stop this song?,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),Can someone stop this song?,(Lovesick melody),So I won't sing along,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),So I won't sing along,Can someone stop this song?,"(Lovesick melody, oh)",1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),"(Lovesick melody, oh)",So I won't sing along,Can someone stop this song?,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),Can someone stop this song?,"(Lovesick melody, oh)",So I won't sing,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),So I won't sing,Can someone stop this song?,Your lovesick melody,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),But you won't get to me,Is gonna get the best of me tonight,"No, you won't get to me",1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),"No, you won't get to me",But you won't get to me,'Cause I won't sing,1
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),'Cause I won't sing,"No, you won't get to me",,1
Rewind (Demo),RIOT! (International Deluxe Version),Don't come looking for me,,'Cause I'll be right here with the words you said,1
Rewind (Demo),RIOT! (International Deluxe Version),'Cause I'll be right here with the words you said,Don't come looking for me,Looking for the words that you say,1
Rewind (Demo),RIOT! (International Deluxe Version),Looking for the words that you say,'Cause I'll be right here with the words you said,"You know what you did, you know",1
Rewind (Demo),RIOT! (International Deluxe Version),"You know what you did, you know",Looking for the words that you say,And how can anybody forget the promise that you made?,1
Rewind (Demo),RIOT! (International Deluxe Version),And how can anybody forget the promise that you made?,"You know what you did, you know",'Cause this is how a promise breaks,1
Rewind (Demo),RIOT! (International Deluxe Version),'Cause this is how a promise breaks,And how can anybody forget the promise that you made?,I always knew you'd fall through,1
Rewind (Demo),RIOT! (International Deluxe Version),I always knew you'd fall through,'Cause this is how a promise breaks,And now you're proof,1
Rewind (Demo),RIOT! (International Deluxe Version),And now you're proof,I always knew you'd fall through,Rewind to the first time,2
Rewind (Demo),RIOT! (International Deluxe Version),Rewind to the first time,And now you're proof,That I felt it coming,2
Rewind (Demo),RIOT! (International Deluxe Version),That I felt it coming,Rewind to the first time,I knew it would not last,3
Rewind (Demo),RIOT! (International Deluxe Version),I knew it would not last,That I felt it coming,Rewind to the first time,3
Rewind (Demo),RIOT! (International Deluxe Version),Rewind to the first time,I knew it would not last,That I felt it coming,3
Rewind (Demo),RIOT! (International Deluxe Version),That I felt it coming,Rewind to the first time,"Make it quick, make it painless",3
Rewind (Demo),RIOT! (International Deluxe Version),"Make it quick, make it painless",That I felt it coming,"Don't tell me lies, just say goodbye",3
Rewind (Demo),RIOT! (International Deluxe Version),"Don't tell me lies, just say goodbye","Make it quick, make it painless",And now you're running from me,1
Rewind (Demo),RIOT! (International Deluxe Version),And now you're running from me,"Don't tell me lies, just say goodbye","So cool, so scared of what you might have said",1
Rewind (Demo),RIOT! (International Deluxe Version),"So cool, so scared of what you might have said",And now you're running from me,And no one's ever looked away,1
Rewind (Demo),RIOT! (International Deluxe Version),And no one's ever looked away,"So cool, so scared of what you might have said","'Cause we know what you did, we know",1
Rewind (Demo),RIOT! (International Deluxe Version),"'Cause we know what you did, we know",And no one's ever looked away,"If I told anybody, that we would soon forget your name",1
Rewind (Demo),RIOT! (International Deluxe Version),"If I told anybody, that we would soon forget your name","'Cause we know what you did, we know",And you would never have a place,1
Rewind (Demo),RIOT! (International Deluxe Version),And you would never have a place,"If I told anybody, that we would soon forget your name",I always knew you'd fall through,1
Rewind (Demo),RIOT! (International Deluxe Version),I always knew you'd fall through,And you would never have a place,And now you're proof,1
Rewind (Demo),RIOT! (International Deluxe Version),"Don't tell me lies, just say goodbye","Make it quick, make it painless","Please don't say too much, oh-oh",1
Rewind (Demo),RIOT! (International Deluxe Version),"Please don't say too much, oh-oh","Don't tell me lies, just say goodbye","I think we've heard enough from you, oh",1
Rewind (Demo),RIOT! (International Deluxe Version),"I think we've heard enough from you, oh","Please don't say too much, oh-oh",Rewind to the first time,1
Rewind (Demo),RIOT! (International Deluxe Version),Rewind to the first time,"I think we've heard enough from you, oh",That I felt it coming,1
Rewind (Demo),RIOT! (International Deluxe Version),"Don't tell me lies, just say goodbye","Make it quick, make it painless","Don't tell me lies, just say goodbye",1
Rewind (Demo),RIOT! (International Deluxe Version),"Don't tell me lies, just say goodbye","Don't tell me lies, just say goodbye",,1
Decoy,The B-Sides,Close your eyes and make believe,,This is where you wanna be,1
Decoy,The B-Sides,This is where you wanna be,Close your eyes and make believe,"Forgetting all the memories, try to forget love 'cause love's forgotten me",1
Decoy,The B-Sides,"Forgetting all the memories, try to forget love 'cause love's forgotten me",This is where you wanna be,"Well, hey, hey baby, it's never too late",1
Decoy,The B-Sides,"Well, hey, hey baby, it's never too late","Forgetting all the memories, try to forget love 'cause love's forgotten me","Pretty soon, you won't remember a thing",1
Decoy,The B-Sides,"Pretty soon, you won't remember a thing","Well, hey, hey baby, it's never too late","And I'll be distant, the stars reminiscing",1
Decoy,The B-Sides,"And I'll be distant, the stars reminiscing","Pretty soon, you won't remember a thing",Your heart's been wasted on me,1
Decoy,The B-Sides,Your heart's been wasted on me,"And I'll be distant, the stars reminiscing","You've never been so used as I'm using you, abusing you",1
Decoy,The B-Sides,"You've never been so used as I'm using you, abusing you",Your heart's been wasted on me,My little decoy,1
Decoy,The B-Sides,My little decoy,"You've never been so used as I'm using you, abusing you","Don't look so blue, you should've seen right through",2
Decoy,The B-Sides,"Don't look so blue, you should've seen right through",My little decoy,"I'm using you, my little decoy",2
Decoy,The B-Sides,"I'm using you, my little decoy","Don't look so blue, you should've seen right through",My little decoy,1
Decoy,The B-Sides,My little decoy,"I'm using you, my little decoy",Live your life inside a dream,1
Decoy,The B-Sides,Live your life inside a dream,My little decoy,Time is changing everything,1
Decoy,The B-Sides,Time is changing everything,Live your life inside a dream,Forgetting all the memories,1
Decoy,The B-Sides,Forgetting all the memories,Time is changing everything,And I'm forced into you just 'cause you're into me,1
Decoy,The B-Sides,And I'm forced into you just 'cause you're into me,Forgetting all the memories,"Well hey, hey baby, it's never too late",1
Decoy,The B-Sides,"Well hey, hey baby, it's never too late",And I'm forced into you just 'cause you're into me,When I'm gone you won't remember a thing,1
Decoy,The B-Sides,When I'm gone you won't remember a thing,"Well hey, hey baby, it's never too late",But I can't stay and you know I won't wait,1
Decoy,The B-Sides,But I can't stay and you know I won't wait,When I'm gone you won't remember a thing,I was gone from the very first day,1
